site_prob,perc_prob,perc_time
0.25,0.0,0.039
0.3,0.0,0.047
0.35,0.0,0.062
0.39999999999999997,0.0,0.085
0.44999999999999996,0.0,0.126
0.5,0.0,0.24
0.505,0.0,0.241
0.51,0.0,0.241
0.515,0.0,0.256
0.52,0.0,0.282
0.525,0.0,0.314
0.53,0.0,0.337
0.535,0.0,0.336
0.54,0.0,0.392
0.545,0.01,0.453
0.55,0.0,0.51
0.555,0.01,0.562
0.56,0.01,0.596
0.5650000000000001,0.08,0.769
0.5700000000000001,0.08,0.831
0.5750000000000001,0.09,0.936
0.5800000000000001,0.21,1.085
0.5850000000000001,0.24,1.186
0.5900000000000001,0.44,1.343
0.592746,0.53,1.398
0.5950000000000001,0.59,1.466
0.6000000000000001,0.62,1.572
0.6050000000000001,0.76,1.707
0.6100000000000001,0.86,1.815
0.6150000000000001,0.92,1.919
0.6200000000000001,0.97,2.043
0.6250000000000001,1.0,2.065
0.6300000000000001,0.98,2.138
0.6350000000000001,0.99,2.144
0.6400000000000001,1.0,2.21
0.6450000000000001,0.99,2.249
0.6500000000000001,1.0,2.289
0.6550000000000001,1.0,2.318
0.6600000000000001,1.0,2.349
0.6650000000000001,1.0,2.391
0.6700000000000002,1.0,2.409
0.6750000000000002,1.0,2.45
0.6800000000000002,1.0,2.464
0.6850000000000002,1.0,2.49
0.6900000000000002,1.0,2.515
0.6950000000000002,1.0,2.538
0.7,1.0,2.572
0.75,1.0,2.754
0.8,1.0,2.917
0.8500000000000001,1.0,3.078
